x_value,total_1,total_2
0,1000,1000
1049,2037,1352
1703,2876,2026
1207,2198,1882
942,2049,1561
1,1004,1001
1050,2037,1349
1704,2871,2025
1208,2196,1888
943,2051,1566
2,999,1003
1051,2044,1354
1705,2875,2027
1209,2198,1887
944,2048,1563
3,1001,1004
1052,2042,1358
1706,2878,2031
1210,2206,1893
945,2047,1560
4,1008,1004
1053,2043,1355
1707,2882,2032
1211,2214,1893
946,2047,1558
5,1015,1004
1054,2050,1358
1708,2884,2035
1212,2215,1892
947,2049,1564
6,1010,1005
1055,2051,1364
1709,2883,2037
1213,2221,1892
948,2048,1567
7,1014,1010
1056,2048,1359
1710,2877,2036
1214,2220,1897
949,2056,1564
8,1020,1014
1057,2052,1354
1711,2881,2040
1215,2224,1894
950,2052,1562
9,1020,1009
1058,2049,1354
1712,2882,2039
1216,2231,1892
951,2049,1565
10,1023,1006
1059,2044,1351
1713,2876,2045
1217,2239,1887
952,2056,1567
11,1026,1005
1060,2045,1353
1714,2883,2044
1218,2242,1892
953,2062,1562
12,1028,1011
1061,2043,1354
1715,2889,2045
1219,2238,1891
954,2058,1560
13,1027,1006
1062,2041,1360
1716,2888,2040
1220,2232,1897
955,2061,1560
14,1035,1012
1063,2040,1365
1717,2892,2038
1221,2238,1903
956,2057,1561
15,1032,1011
1064,2044,1365
1718,2897,2033
1222,2240,1906
957,2052,1564
16,1033,1009
1065,2038,1364
1719,2896,2038
1223,2241,1903
958,2052,1570
17,1031,1010
1066,2042,1359
1720,2898,2043
1224,2239,1899
959,2054,1567
18,1030,1010
1067,2038,1357
1721,2895,2045
1225,2236,1897
960,2058,1568
19,1037,1006
1068,2032,1352
1722,2894,2047
1226,2239,1895
961,2062,1563
20,1031,1010
1069,2028,1356
1723,2902,2044
1227,2241,1901
962,2057,1565
21,1035,1009
1070,2023,1359
1724,2906,2040
1228,2249,1897
963,2061,1571
22,1034,1006
1071,2027,1359
1725,2908,2045
1229,2246,1900
964,2059,1567
23,1037,1001
1072,2028,1356
1726,2914,2041
1230,2240,1906
965,2058,1567
24,1042,998
1073,2029,1360
1727,2915,2042
1231,2234,1906
966,2052,1567
25,1043,1003
1074,2030,1356
1728,2918,2048
1232,2242,1903
967,2052,1571
26,1046,1007
1075,2029,1361
1729,2922,2051
1233,2244,1905
968,2053,1575
27,1052,1010
1076,2030,1359
1730,2918,2048
1234,2241,1903
969,2053,1573
28,1059,1011
1077,2024,1362
1731,2921,2050
1235,2238,1906
970,2050,1576
29,1061,1009
1078,2030,1359
1732,2925,2050
1236,2236,1909
971,2057,1581
30,1067,1008
1079,2028,1364
1733,2927,2055
1237,2232,1909
972,2065,1586
31,1063,1010
1080,2022,1368
1734,2934,2056
1238,2235,1912
973,2065,1582
32,1065,1012
1081,2024,1372
1735,2932,2056
1239,2236,1909
974,2068,1581
33,1066,1013
1082,2020,1371
1736,2926,2060
1240,2236,1905
975,2066,1577
34,1070,1010
1083,2014,1372
1737,2926,2066
1241,2238,1902
976,2063,1581
35,1069,1015
1084,2016,1367
1738,2923,2069
1242,2237,1901
977,2060,1582
36,1074,1016
1085,2018,1370
1739,2917,2067
1243,2242,1902
978,2060,1586
37,1073,1022
1086,2026,1367
1740,2922,2062
1244,2248,1907
979,2064,1588
38,1078,1024
1087,2029,1365
1741,2917,2059
1245,2250,1907
